index	id	title	category	sourceId	x	y	width	height	relativePath
23	mahavisphot-ref-023-particle-volume-mixer-view	Particle Volume Mixer View	particles	view-modules-gallery	385	1350	500	290	frames/frame_023_particle-volume-mixer-view.png
24	mahavisphot-ref-024-multi-view-color-curves	Multi View Color Curves	color	view-modules-gallery	925	1350	313	290	frames/frame_024_multi-view-color-curves.png
25	mahavisphot-ref-025-multi-view-scopes	Multi View Scopes	color	view-modules-gallery	1250	1350	320	290	frames/frame_025_multi-view-scopes.png
26	mahavisphot-ref-026-render-queue	Render Queue	output	view-modules-gallery	1640	1350	255	290	frames/frame_026_render-queue.png
27	mahavisphot-ref-027-export-settings	Export Settings	output	view-modules-gallery	1908	1350	277	290	frames/frame_027_export-settings.png
28	mahavisphot-ref-028-telemetry-dashboard	Telemetry Dashboard	output	view-modules-gallery	2200	1350	260	290	frames/frame_028_telemetry-dashboard.png
29	mahavisphot-ref-029-top-toolbar-v3	Top Toolbar v3	layout	compositor-pro-v3	0	0	2492	75	frames/frame_029_top-toolbar-v3.png
30	mahavisphot-ref-030-scenes-panel-v3	Scenes Panel v3	layout	compositor-pro-v3	0	80	450	1075	frames/frame_030_scenes-panel-v3.png
31	mahavisphot-ref-031-layer-stack-v3	Layer Stack v3	layout	compositor-pro-v3	0	1160	452	465	frames/frame_031_layer-stack-v3.png
32	mahavisphot-ref-032-toolbelt-v3	Toolbelt v3	layout	compositor-pro-v3	470	80	810	65	frames/frame_032_toolbelt-v3.png
33	mahavisphot-ref-033-scene-graph-floating-panel	Scene Graph Floating Panel	3d	compositor-pro-v3	480	145	320	500	frames/frame_033_scene-graph-floating-panel.png
34	mahavisphot-ref-034-viewer-tracking-overlay	Viewer Tracking Overlay	viewer	compositor-pro-v3	805	145	1080	500	frames/frame_034_viewer-tracking-overlay.png
35	mahavisphot-ref-035-particles-gallery-floating-panel	Particles Gallery Floating Panel	particles	compositor-pro-v3	1288	480	587	675	frames/frame_035_particles-gallery-floating-panel.png
36	mahavisphot-ref-036-right-inspector-tabs	Right Inspector Tabs	inspector	compositor-pro-v3	1925	80	561	160	frames/frame_036_right-inspector-tabs.png
37	mahavisphot-ref-037-face-replacer-panel	Face Replacer Panel	ai-tracking	compositor-pro-v3	1925	250	545	565	frames/frame_037_face-replacer-panel.png
38	mahavisphot-ref-038-texture-fixture-engine	Texture Fixture Engine	vfx	compositor-pro-v3	1925	835	550	260	frames/frame_038_texture-fixture-engine.png
39	mahavisphot-ref-039-rgb-waveform-scope	RGB Waveform Scope	color	compositor-pro-v3	1925	1115	550	233	frames/frame_039_rgb-waveform-scope.png
40	mahavisphot-ref-040-loudness-and-vectorscope-panels	Loudness And Vectorscope Panels	audio	compositor-pro-v3	1925	1365	550	250	frames/frame_040_loudness-and-vectorscope-panels.png
41	mahavisphot-ref-041-timeline-stack-v3	Timeline Stack v3	timeline	compositor-pro-v3	465	735	1420	880	frames/frame_041_timeline-stack-v3.png
42	mahavisphot-ref-042-node-graph-floating-panel	Node Graph Floating Panel	vfx	compositor-pro-v3	750	1140	898	405	frames/frame_042_node-graph-floating-panel.png
43	mahavisphot-ref-043-bottom-telemetry-bar-v3	Bottom Telemetry Bar v3	telemetry	compositor-pro-v3	465	1620	2010	76	frames/frame_043_bottom-telemetry-bar-v3.png
44	mahavisphot-ref-044-top-toolbar-gen-2	Top Toolbar Gen 2	layout	compositor-pro-gen2	0	0	2492	70	frames/frame_044_top-toolbar-gen-2.png
45	mahavisphot-ref-045-scenes-panel-gen-2	Scenes Panel Gen 2	layout	compositor-pro-gen2	0	80	455	1085	frames/frame_045_scenes-panel-gen-2.png
46	mahavisphot-ref-046-layer-stack-gen-2	Layer Stack Gen 2	layout	compositor-pro-gen2	0	1165	455	455	frames/frame_046_layer-stack-gen-2.png
47	mahavisphot-ref-047-program-monitor-gen-2	Program Monitor Gen 2	viewer	compositor-pro-gen2	480	130	1405	520	frames/frame_047_program-monitor-gen-2.png
48	mahavisphot-ref-048-inspector-pro-rubab-optimizer	Inspector Pro Rubab Optimizer	inspector	compositor-pro-gen2	1925	150	553	660	frames/frame_048_inspector-pro-rubab-optimizer.png
49	mahavisphot-ref-049-secondary-monitor-tracking-view	Secondary Monitor Tracking View	viewer	compositor-pro-gen2	1925	830	553	280	frames/frame_049_secondary-monitor-tracking-view.png
50	mahavisphot-ref-050-rgb-waveform-scope-gen-2	RGB Waveform Scope Gen 2	color	compositor-pro-gen2	1925	1125	553	230	frames/frame_050_rgb-waveform-scope-gen-2.png
51	mahavisphot-ref-051-loudness-vector-telemetry-gen-2	Loudness Vector Telemetry Gen 2	audio	compositor-pro-gen2	1925	1370	553	255	frames/frame_051_loudness-vector-telemetry-gen-2.png
52	mahavisphot-ref-052-transport-bar-gen-2	Transport Bar Gen 2	timeline	compositor-pro-gen2	480	655	1405	70	frames/frame_052_transport-bar-gen-2.png
53	mahavisphot-ref-053-timeline-controls-gen-2	Timeline Controls Gen 2	timeline	compositor-pro-gen2	465	735	1420	145	frames/frame_053_timeline-controls-gen-2.png
54	mahavisphot-ref-054-timeline-stack-gen-2	Timeline Stack Gen 2	timeline	compositor-pro-gen2	465	885	1420	740	frames/frame_054_timeline-stack-gen-2.png
55	mahavisphot-ref-055-node-graph-composer-floating-gen-2	Node Graph Composer Floating Gen 2	vfx	compositor-pro-gen2	750	1140	898	408	frames/frame_055_node-graph-composer-floating-gen-2.png
56	mahavisphot-ref-056-bottom-telemetry-bar-gen-2	Bottom Telemetry Bar Gen 2	telemetry	compositor-pro-gen2	465	1620	2013	76	frames/frame_056_bottom-telemetry-bar-gen-2.png
