frame	start	end	duration	source	title_hi	title_en	image_path	rubab_overlay	effects	note
30	170.0	176.0	6.0	30	आधार पे एक चौकोर सजाओ	Build a Square on the Base	media/varg_ka_khel/frames/frame_0030.jpg	no	grain,sonic	Secret Codes: 5, 12, 13 code language
31	176.0	182.0	6.0	31	लंब पे भी एक वैसा ही बनाओ	Build One on the Height	media/varg_ka_khel/frames/frame_0031.jpg	no	grain,sonic	Secret Codes: 5, 12, 13 code language
32	182.0	188.0	6.0	32	तिरछी लाइन का वर्ग बन जाएगा!	The Diagonal Square Appears	media/varg_ka_khel/frames/frame_0032.jpg	no	grain,sonic	Secret Codes: 5, 12, 13 code language
33	188.0	194.0	6.0	33	गणित का मज़ा घात के साथ!	Math Joy with Exponents	media/varg_ka_khel/frames/frame_0033.jpg	no	grain,sonic	Secret Codes: 5, 12, 13 code language
34	194.0	196.0	2.0	34	प्राचीन खोज की खोज	Ancient Search	media/varg_ka_khel/frames/frame_0034.jpg	no		Proud History: Baudhayan, Shulba Sutra, ancient discovery
35	196.0	198.0	2.0	35	समय का खेल - एक नया रूप	Time Game, New Form	media/varg_ka_khel/frames/frame_0035.jpg	no		Proud History: Baudhayan, Shulba Sutra, ancient discovery
36	198.0	200.0	2.0	36	तिरछी रस्सी की खोज - रहस्य खुला	Slanted Rope Discovery	media/varg_ka_khel/frames/frame_0036.jpg	no		Proud History: Baudhayan, Shulba Sutra, ancient discovery
37	200.0	202.0	2.0	37	महान ट्रिक का राज - एक गहरा संबंध	Great Trick Revealed	media/varg_ka_khel/frames/frame_0037.jpg	no		Proud History: Baudhayan, Shulba Sutra, ancient discovery
38	202.0	204.0	2.0	38	प्राचीन आधार पे एक चौकोर सजाओ	Ancient Base Square	media/varg_ka_khel/frames/frame_0038.jpg	no		Proud History: Baudhayan, Shulba Sutra, ancient discovery
39	204.0	206.0	2.0	39	लंब पे भी एक वैसा ही बनाओ	Height Square Too	media/varg_ka_khel/frames/frame_0039.jpg	no		Proud History: Baudhayan, Shulba Sutra, ancient discovery
40	206.0	208.0	2.0	40	तिरछी लाइन का वर्ग बन जाएगा!	Diagonal Square Forms	media/varg_ka_khel/frames/frame_0040.jpg	no		Proud History: Baudhayan, Shulba Sutra, ancient discovery
41	208.0	210.0	2.0	41	महान शुल्ब - भारत का ज्ञान	Shulba Wisdom of India	media/varg_ka_khel/frames/frame_0041.jpg	no		Proud History: Baudhayan, Shulba Sutra, ancient discovery
42	210.0	212.0	2.0	42	भविष्य की नीव	Foundation of the Future	media/varg_ka_khel/frames/frame_0042.jpg	no		Proud History: Baudhayan, Shulba Sutra, ancient discovery
43	212.0	214.0	2.0	43	समय का खेल - नया अवतार	Time Game, New Avatar	media/varg_ka_khel/frames/frame_0043.jpg	no		Proud History: Baudhayan, Shulba Sutra, ancient discovery
44	214.0	216.0	2.0	44	तिरछी रस्सी का नया रास्ता - नेटवर्क खुला	Rope Becomes Network	media/varg_ka_khel/frames/frame_0044.jpg	no		Proud History: Baudhayan, Shulba Sutra, ancient discovery
45	216.0	218.0	2.0	45	महान ट्रिक का कोड - वैश्विक ज्ञान	Global Code of the Trick	media/varg_ka_khel/frames/frame_0045.jpg	no		Proud History: Baudhayan, Shulba Sutra, ancient discovery
46	218.0	219.38	1.38	46	प्राचीन आधार - नया रूप	Ancient Base, New Form	media/varg_ka_khel/frames/frame_0046.jpg	no	grain,sonic	Chorus / Outro: Kids chorus, applause, happy fade
47	219.38	220.76	1.38	47	लंब की कहानी - एक साथ	Height Story Together	media/varg_ka_khel/frames/frame_0047.jpg	no	grain,sonic	Chorus / Outro: Kids chorus, applause, happy fade
48	220.76	222.14	1.38	48	तिरछी लाइन का वर्ग बन जाएगा! - दुनिया बनी	Diagonal Square Builds a World	media/varg_ka_khel/frames/frame_0048.jpg	no	grain,sonic	Chorus / Outro: Kids chorus, applause, happy fade
49	222.14	223.52	1.38	49	महान शुल्ब - भारत का ज्ञान, दुनिया का उपहार	India's Knowledge, World's Gift	media/varg_ka_khel/frames/frame_0049.jpg	no	grain,sonic	Chorus / Outro: Kids chorus, applause, happy fade
50	223.52	224.9	1.38	50	कोड की भाषा	Code Language	media/varg_ka_khel/frames/frame_0050.jpg	no	grain,sonic	Chorus / Outro: Kids chorus, applause, happy fade
51	224.9	226.28	1.38	51	घात का जादू - नए कोड की खोज	Exponent Magic Reprise	media/varg_ka_khel/frames/frame_0051.jpg	no	grain,sonic	Chorus / Outro: Kids chorus, applause, happy fade
52	226.28	227.66	1.38	52	रस्सी तिरछी मुस्काई, मज़ा आया	Slanted Rope Smiles Again	media/varg_ka_khel/frames/frame_0052.jpg	no	grain,sonic	Chorus / Outro: Kids chorus, applause, happy fade
53	227.66	229.04	1.38	53	गुप्त ट्रिक - ५, १२ और १३ का खेल	Secret Trick Returns	media/varg_ka_khel/frames/frame_0053.jpg	no	grain,sonic	Chorus / Outro: Kids chorus, applause, happy fade
54	229.04	230.42	1.38	54	आधार पे एक चौकोर सजाओ	Build the Base Square	media/varg_ka_khel/frames/frame_0054.jpg	no	grain,sonic	Chorus / Outro: Kids chorus, applause, happy fade
55	230.42	231.8	1.38	55	लंब पे भी एक वैसा ही बनाओ	Build the Height Square	media/varg_ka_khel/frames/frame_0055.jpg	no	grain,sonic	Chorus / Outro: Kids chorus, applause, happy fade
56	231.8	233.18	1.38	56	तिरछी लाइन का वर्ग बन जाएगा!	Diagonal Square Victory	media/varg_ka_khel/frames/frame_0056.jpg	no	grain,sonic	Chorus / Outro: Kids chorus, applause, happy fade
57	233.18	234.56	1.38	57	गणित का मज़ा घात के साथ!	Final Math Joy	media/varg_ka_khel/frames/frame_0057.jpg	no	grain,sonic	Chorus / Outro: Kids chorus, applause, happy fade
